bone_id,period_class,group_type,group_order,char_count,ambiguous_count,placeholder_count,damaged_count,characters,characters_simple,sentence_full,sentence_simple
H00020,典賓,InscriptionSentence,0,7,0,2,0,庚|未释|貞|収|未释|宗|工,庚|未释|貞|収|未释|宗|工,庚未释貞収未释宗工,庚未释貞収未释宗工
H00026,典賓,InscriptionSentence,0,12,0,0,0,丁|未|卜|爭|貞|勿|令|畢|以|眾|伐|𢀛,丁|未|卜|爭|貞|勿|令|畢|以|眾|伐|𢀛,丁未卜爭貞勿令畢以眾伐𢀛,丁未卜爭貞勿令畢以眾伐𢀛
H00026,典賓,InscriptionSentence,1,2,0,1,0,貞|未释,貞|未释,貞未释,貞未释
H00027,典賓,InscriptionSentence,0,12,0,0,0,未|丁|卜|爭|貞|勿|令|畢|以|眾|伐|𢀛,未|丁|卜|爭|貞|勿|令|畢|以|眾|伐|𢀛,未丁卜爭貞勿令畢以眾伐𢀛,未丁卜爭貞勿令畢以眾伐𢀛
H00027,典賓,InscriptionSentence,1,6,0,2,0,貞|勿|未释|于|且|未释,貞|勿|未释|于|且|未释,貞勿未释于且未释,貞勿未释于且未释
H00028,典賓,InscriptionSentence,0,10,0,0,0,貞|王|勿|令|畢|以|眾|伐|𢀛|方,貞|王|勿|令|畢|以|眾|伐|𢀛|方,貞王勿令畢以眾伐𢀛方,貞王勿令畢以眾伐𢀛方
H00030,賓三,InscriptionSentence,0,7,0,3,0,未释|令|畢|未释|眾|未释|方,未释|令|畢|未释|眾|未释|方,未释令畢未释眾未释方,未释令畢未释眾未释方
H00030,賓三,InscriptionSentence,1,9,1,4,0,貞|未释|以|未释|射|未释|󿰟/𰕣|未释|方,貞|未释|以|未释|射|未释|󿰟|未释|方,貞未释以未释射未释󿰟/𰕣未释方,貞未释以未释射未释󿰟未释方
H00030,賓三,InscriptionSentence,2,8,0,3,0,未释|方|其|于|未释|方|未释|出,未释|方|其|于|未释|方|未释|出,未释方其于未释方未释出,未释方其于未释方未释出
H00030,賓三,InscriptionSentence,3,8,0,2,0,甲|未释|賓|未释|厀|未释|丁|羌,甲|未释|賓|未释|厀|未释|丁|羌,甲未释賓未释厀未释丁羌,甲未释賓未释厀未释丁羌
H00031,賓出,InscriptionSentence,0,8,0,3,0,未释|畢|于|未释|以|眾|未释|宗,未释|畢|于|未释|以|眾|未释|宗,未释畢于未释以眾未释宗,未释畢于未释以眾未释宗
H00033,典賓,InscriptionSentence,0,11,0,1,0,癸|酉|卜|賓|貞|翌|戊|令|眾|人|未释,癸|酉|卜|賓|貞|翌|戊|令|眾|人|未释,癸酉卜賓貞翌戊令眾人未释,癸酉卜賓貞翌戊令眾人未释
H00033,典賓,InscriptionSentence,1,14,1,0,0,壬|御|卜|򦶉/󿰖|貞|㞢|于|高|匕|己|匕|庚|小|牢,壬|御|卜|򦶉|貞|㞢|于|高|匕|己|匕|庚|小|牢,壬御卜򦶉/󿰖貞㞢于高匕己匕庚小牢,壬御卜򦶉貞㞢于高匕己匕庚小牢
H00036,典賓,InscriptionSentence,0,10,0,2,0,未释|寅|卜|未释|貞|叀|師|令|以|眾,未释|寅|卜|未释|貞|叀|師|令|以|眾,未释寅卜未释貞叀師令以眾,未释寅卜未释貞叀師令以眾
H00037,典賓,InscriptionSentence,0,8,0,2,0,未释|今|五月|乎|眾|人|步|未释,未释|今|五月|乎|眾|人|步|未释,未释今五月乎眾人步未释,未释今五月乎眾人步未释
H00039,典賓,InscriptionSentence,0,16,1,0,0,貞|翌|丁|未|𫹉|尞|于|丁|十|小𫳅/小牢|卯|十|勿|牛|八|夕,貞|翌|丁|未|𫹉|尞|于|丁|十|小𫳅|卯|十|勿|牛|八|夕,貞翌丁未𫹉尞于丁十小𫳅/小牢卯十勿牛八夕,貞翌丁未𫹉尞于丁十小𫳅卯十勿牛八夕
H00039,典賓,InscriptionSentence,1,9,0,1,0,貞|尞|告|眾|步|于|丁|十|未释,貞|尞|告|眾|步|于|丁|十|未释,貞尞告眾步于丁十未释,貞尞告眾步于丁十未释
H00040,典賓,InscriptionSentence,0,7,0,1,0,己|巳|卜|爭|貞|乎|未释,己|巳|卜|爭|貞|乎|未释,己巳卜爭貞乎未释,己巳卜爭貞乎未释
H00040,典賓,InscriptionSentence,1,8,0,0,0,貞|勿|乎|眾|匕|先|于|誖,貞|勿|乎|眾|匕|先|于|誖,貞勿乎眾匕先于誖,貞勿乎眾匕先于誖
H00041,典賓,InscriptionSentence,0,10,0,0,0,己|巳|卜|爭|貞|乎|眾|人|于|誖,己|巳|卜|爭|貞|乎|眾|人|于|誖,己巳卜爭貞乎眾人于誖,己巳卜爭貞乎眾人于誖
H00041,典賓,InscriptionSentence,1,8,0,0,0,貞|勿|乎|眾|人|先|于|誖,貞|勿|乎|眾|人|先|于|誖,貞勿乎眾人先于誖,貞勿乎眾人先于誖
H00044,賓出,InscriptionSentence,0,10,0,4,0,未释|令|未释|卒|未释|眾|未释|亡|不|若,未释|令|未释|卒|未释|眾|未释|亡|不|若,未释令未释卒未释眾未释亡不若,未释令未释卒未释眾未释亡不若
H00044,賓出,InscriptionSentence,1,10,0,4,0,未释|酉|򺵉|未释|師|般|未释|𢏂|未释|若,未释|酉|򺵉|未释|師|般|未释|𢏂|未释|若,未释酉򺵉未释師般未释𢏂未释若,未释酉򺵉未释師般未释𢏂未释若
H00045,賓一,InscriptionSentence,0,9,1,3,0,未释|貞|王|疒|未释|未释|眾|𰜃/𰛚|不,未释|貞|王|疒|未释|未释|眾|𰜃|不,未释貞王疒未释未释眾𰜃/𰛚不,未释貞王疒未释未释眾𰜃不
H00047,賓出,InscriptionSentence,0,3,0,0,0,不|㞢|眾,不|㞢|眾,不㞢眾,不㞢眾
H00048,賓出,InscriptionSentence,0,10,0,1,0,貞|眾|未释|㞢|巛|九|夕|未释|鯀|未释,貞|眾|未释|㞢|巛|九|夕|未释|鯀|未释,貞眾未释㞢巛九夕未释鯀未释,貞眾未释㞢巛九夕未释鯀未释
H00048,賓出,InscriptionSentence,1,2,0,1,0,在|未释,在|未释,在未释,在未释
H00051,典賓,InscriptionSentence,0,8,0,0,0,貞|並|其|喪|眾|人|三|夕,貞|並|其|喪|眾|人|三|夕,貞並其喪眾人三夕,貞並其喪眾人三夕
H00052,賓三,InscriptionSentence,0,7,0,1,0,未释|殻|貞|王|其|啟|未释,未释|殻|貞|王|其|啟|未释,未释殻貞王其啟未释,未释殻貞王其啟未释
H00052,賓三,InscriptionSentence,1,8,0,0,0,未释|貞|並|亡|巛|不|喪|眾,未释|貞|並|亡|巛|不|喪|眾,未释貞並亡巛不喪眾,未释貞並亡巛不喪眾
H00052,賓三,InscriptionSentence,2,7,0,2,0,未释|古|貞|幼|󏔭|在|未释,未释|古|貞|幼|󏔭|在|未释,未释古貞幼󏔭在未释,未释古貞幼󏔭在未释
H00052,賓三,InscriptionSentence,3,6,0,2,0,未释|古|貞|令|並|未释,未释|古|貞|令|並|未释,未释古貞令並未释,未释古貞令並未释
H00052,賓三,InscriptionSentence,4,4,0,2,0,未释|古|貞|未释,未释|古|貞|未释,未释古貞未释,未释古貞未释
H00055,𠂤賓,InscriptionSentence,0,8,0,1,0,己|亥|卜|貞|弜|不|喪|未释,己|亥|卜|貞|弜|不|喪|未释,己亥卜貞弜不喪未释,己亥卜貞弜不喪未释
H00056,賓出,InscriptionSentence,0,5,0,1,0,未释|畢|其|喪|眾,未释|畢|其|喪|眾,未释畢其喪眾,未释畢其喪眾
H00057,賓出,InscriptionSentence,0,6,0,0,0,貞|畢|不|喪|眾|人,貞|畢|不|喪|眾|人,貞畢不喪眾人,貞畢不喪眾人
H00058,賓三,InscriptionSentence,0,5,0,0,0,貞|畢|其|喪|眾,貞|畢|其|喪|眾,貞畢其喪眾,貞畢其喪眾
H00059,賓三,InscriptionSentence,0,8,0,1,0,己|卯|卜|賓|未释|不|喪|眾,己|卯|卜|賓|未释|不|喪|眾,己卯卜賓未释不喪眾,己卯卜賓未释不喪眾
H00060,賓三,InscriptionSentence,0,9,0,3,0,未释|卯|卜|賓|未释|畢|不|未释|眾,未释|卯|卜|賓|未释|畢|不|未释|眾,未释卯卜賓未释畢不未释眾,未释卯卜賓未释畢不未释眾
H00061,𠂤歷,InscriptionSentence,0,8,0,0,0,己|亥|卜|貞|󿲌|不|喪|眾,己|亥|卜|貞|󿲌|不|喪|眾,己亥卜貞󿲌不喪眾,己亥卜貞󿲌不喪眾
H00061,𠂤歷,InscriptionSentence,1,3,0,0,0,其|喪|眾,其|喪|眾,其喪眾,其喪眾
H00064,賓三,InscriptionSentence,0,11,1,2,0,辛|巳|未释|򧍪/򫝰|貞|未释|喪|眾|受|方|佑,辛|巳|未释|򧍪|貞|未释|喪|眾|受|方|佑,辛巳未释򧍪/򫝰貞未释喪眾受方佑,辛巳未释򧍪貞未释喪眾受方佑
H00064,賓三,InscriptionSentence,1,6,0,3,0,癸|未释|貞|未释|畀|未释,癸|未释|貞|未释|畀|未释,癸未释貞未释畀未释,癸未释貞未释畀未释
H00066,典賓,InscriptionSentence,0,6,1,0,0,貞|󂊭/󂉡|屰|眾|人|㝵,貞|󂊭|屰|眾|人|㝵,貞󂊭/󂉡屰眾人㝵,貞󂊭屰眾人㝵
H00069,典賓,InscriptionSentence,0,6,0,0,0,貞|多|射|不|矢|眾,貞|多|射|不|矢|眾,貞多射不矢眾,貞多射不矢眾
H00070,𠂤小,InscriptionSentence,0,9,0,2,0,未释|寅|卜|未释|貞|步|不|未释|眾,未释|寅|卜|未释|貞|步|不|未释|眾,未释寅卜未释貞步不未释眾,未释寅卜未释貞步不未释眾
H00071,典賓,InscriptionSentence,0,12,0,4,1,未释|卜|殻|貞|未释|򮞃|比|未释|𪭑|未释|亡|祸,未释|卜|殻|貞|未释|򮞃|比|未释|𪭑|未释|亡|祸,未释卜殻貞未释򮞃比未释𪭑未释亡祸,未释卜殻貞未释򮞃比未释𪭑未释亡祸
H00071,典賓,InscriptionSentence,1,5,0,0,0,貞|令|𭶯|米|眾,貞|令|𭶯|米|眾,貞令𭶯米眾,貞令𭶯米眾
H00074,賓出,InscriptionSentence,0,6,0,3,0,未释|貞|其|未释|眾|未释,未释|貞|其|未释|眾|未释,未释貞其未释眾未释,未释貞其未释眾未释
H00075,賓出,InscriptionSentence,0,8,0,4,0,未释|貞|王|未释|眾|于|未释|未释,未释|貞|王|未释|眾|于|未释|未释,未释貞王未释眾于未释未释,未释貞王未释眾于未释未释
H00078,賓一,InscriptionSentence,0,6,0,2,0,貞|勿|未释|眾|人|未释,貞|勿|未释|眾|人|未释,貞勿未释眾人未释,貞勿未释眾人未释
H00079,賓三,InscriptionSentence,0,10,0,4,0,戊|戌|未释|爭|貞|未释|眾|未释|亡|未释,戊|戌|未释|爭|貞|未释|眾|未释|亡|未释,戊戌未释爭貞未释眾未释亡未释,戊戌未释爭貞未释眾未释亡未释
H00079,賓三,InscriptionSentence,1,8,0,4,0,未释|辰|未释|貞|未释|򮛂|未释|擒,未释|辰|未释|貞|未释|򮛂|未释|擒,未释辰未释貞未释򮛂未释擒,未释辰未释貞未释򮛂未释擒
H00086,賓出,InscriptionSentence,0,7,0,4,0,未释|貞|未释|眾|未释|其|未释,未释|貞|未释|眾|未释|其|未释,未释貞未释眾未释其未释,未释貞未释眾未释其未释
H00086,賓出,InscriptionSentence,1,4,0,1,0,未释|眾|五|夕,未释|眾|五|夕,未释眾五夕,未释眾五夕
H00088,賓三,InscriptionSentence,0,7,0,3,0,未释|亥|卜|賓|未释|眾|未释,未释|亥|卜|賓|未释|眾|未释,未释亥卜賓未释眾未释,未释亥卜賓未释眾未释
H00088,賓三,InscriptionSentence,1,6,0,3,0,乙|未释|賓|未释|򮸫|未释,乙|未释|賓|未释|򮸫|未释,乙未释賓未释򮸫未释,乙未释賓未释򮸫未释
H00089,賓出,InscriptionSentence,0,10,1,4,0,癸|卯|未释|貞|未释|子/㜽|未释|眾|未释|三,癸|卯|未释|貞|未释|子|未释|眾|未释|三,癸卯未释貞未释子/㜽未释眾未释三,癸卯未释貞未释子未释眾未释三
H00091,典賓,InscriptionSentence,0,4,0,2,0,貞|未释|眾|未释,貞|未释|眾|未释,貞未释眾未释,貞未释眾未释
H00095,典賓,InscriptionSentence,0,6,0,0,0,貞|且|辛|不|我|害,貞|且|辛|不|我|害,貞且辛不我害,貞且辛不我害
H00095,典賓,InscriptionSentence,1,5,0,0,0,貞|且|辛|害|我,貞|且|辛|害|我,貞且辛害我,貞且辛害我
H00095,典賓,InscriptionSentence,2,6,0,0,0,貞|未释|率|以|羆|芻,貞|未释|率|以|羆|芻,貞未释率以羆芻,貞未释率以羆芻
H00095,典賓,InscriptionSentence,3,5,0,3,0,未释|󇕩|未释|尹|未释,未释|󇕩|未释|尹|未释,未释󇕩未释尹未释,未释󇕩未释尹未释
H00100,典賓,InscriptionSentence,0,4,0,1,0,未释|以|侯|芻,未释|以|侯|芻,未释以侯芻,未释以侯芻
H00104,賓一,InscriptionSentence,0,5,1,0,0,祥|以|芻|于|򯸋/򯻂,祥|以|芻|于|򯸋,祥以芻于򯸋/򯻂,祥以芻于򯸋
H00104,賓一,InscriptionSentence,1,3,0,2,0,未释|于|未释,未释|于|未释,未释于未释,未释于未释
H00105,賓一,InscriptionSentence,0,5,1,0,0,祥|以|芻|于|򯸋/򯻂,祥|以|芻|于|򯸋,祥以芻于򯸋/򯻂,祥以芻于򯸋
H00105,賓一,InscriptionSentence,1,3,0,2,0,未释|勿|未释,未释|勿|未释,未释勿未释,未释勿未释
H00107,典賓,InscriptionSentence,0,5,0,2,0,未释|未释|來|芻|未释,未释|未释|來|芻|未释,未释未释來芻未释,未释未释來芻未释
H00107,典賓,InscriptionSentence,1,4,0,2,1,弗|其|未释|未释,弗|其|未释|未释,弗其未释未释,弗其未释未释
H00107,典賓,InscriptionSentence,2,3,0,2,0,未释|我|未释,未释|我|未释,未释我未释,未释我未释
H00108,賓一,InscriptionSentence,0,5,0,0,0,取|竹|芻|于|丘,取|竹|芻|于|丘,取竹芻于丘,取竹芻于丘
H00109,賓三,InscriptionSentence,0,6,0,0,0,勿|取|夫|芻|于|膺,勿|取|夫|芻|于|膺,勿取夫芻于膺,勿取夫芻于膺
H00114,典賓,InscriptionSentence,0,6,0,2,1,未释|卜|亘|貞|取|未释,未释|卜|亘|貞|取|未释,未释卜亘貞取未释,未释卜亘貞取未释
H00114,典賓,InscriptionSentence,1,4,0,0,0,貞|取|克|芻,貞|取|克|芻,貞取克芻,貞取克芻
H00114,典賓,InscriptionSentence,2,4,0,1,0,貞|取|般|未释,貞|取|般|未释,貞取般未释,貞取般未释
H00114,典賓,InscriptionSentence,3,2,0,1,0,貞|未释,貞|未释,貞未释,貞未释
H00115,典賓,InscriptionSentence,0,7,0,2,0,未释|宓|取|㞢|芻|于|未释,未释|宓|取|㞢|芻|于|未释,未释宓取㞢芻于未释,未释宓取㞢芻于未释
H00118,賓一,InscriptionSentence,0,9,0,0,0,戊|申|卜|賓|令|未释|取|析|芻,戊|申|卜|賓|令|未释|取|析|芻,戊申卜賓令未释取析芻,戊申卜賓令未释取析芻
H00120,賓一,InscriptionSentence,0,13,0,2,0,己|未|卜|未释|貞|乎|彗|未释|未释|򩑺|逸|芻|十三月,己|未|卜|未释|貞|乎|彗|未释|未释|򩑺|逸|芻|十三月,己未卜未释貞乎彗未释未释򩑺逸芻十三月,己未卜未释貞乎彗未释未释򩑺逸芻十三月
H00121,典賓,InscriptionSentence,0,5,0,3,2,未释|򨲇|未释|芻|未释,未释|򨲇|未释|芻|未释,未释򨲇未释芻未释,未释򨲇未释芻未释
H00122,賓一,InscriptionSentence,0,6,0,0,0,貞|王|夢|啟|隹|祸,貞|王|夢|啟|隹|祸,貞王夢啟隹祸,貞王夢啟隹祸
H00122,賓一,InscriptionSentence,1,6,0,0,0,王|夢|啟|不|隹|祸,王|夢|啟|不|隹|祸,王夢啟不隹祸,王夢啟不隹祸
H00122,賓一,InscriptionSentence,2,3,0,0,0,貞|隹|祸,貞|隹|祸,貞隹祸,貞隹祸
H00122,賓一,InscriptionSentence,3,4,0,0,0,貞|擇|雝|芻,貞|擇|雝|芻,貞擇雝芻,貞擇雝芻
H00122,賓一,InscriptionSentence,4,5,0,0,0,貞|勿|擇|雝|芻,貞|勿|擇|雝|芻,貞勿擇雝芻,貞勿擇雝芻
H00122,賓一,InscriptionSentence,5,3,0,0,0,擇|雝|芻,擇|雝|芻,擇雝芻,擇雝芻
H00122,賓一,InscriptionSentence,6,4,0,0,0,貞|雝|擇|芻,貞|雝|擇|芻,貞雝擇芻,貞雝擇芻
H00124,賓一,InscriptionSentence,0,3,0,1,0,未释|雝|芻,未释|雝|芻,未释雝芻,未释雝芻
H00125,賓一,InscriptionSentence,0,5,0,1,0,貞|勿|未释|雝|芻,貞|勿|未释|雝|芻,貞勿未释雝芻,貞勿未释雝芻
H00126,典賓,InscriptionSentence,0,5,0,1,0,貞|未释|擇|未释|芻,貞|未释|擇|未释|芻,貞未释擇未释芻,貞未释擇未释芻
H00127,典賓,InscriptionSentence,0,8,0,0,0,貞|弗|其|㚔|工|芻|四|月,貞|弗|其|㚔|工|芻|四|月,貞弗其㚔工芻四月,貞弗其㚔工芻四月
H00128,典賓,InscriptionSentence,0,7,0,2,2,未释|卜|古|貞|未释|工|芻,未释|卜|古|貞|未释|工|芻,未释卜古貞未释工芻,未释卜古貞未释工芻
H00131,典賓,InscriptionSentence,0,6,0,0,0,貞|逸|芻|不|其|㝵,貞|逸|芻|不|其|㝵,貞逸芻不其㝵,貞逸芻不其㝵
H00132,典賓,InscriptionSentence,0,5,0,1,0,貞|逸|芻|不|未释,貞|逸|芻|不|未释,貞逸芻不未释,貞逸芻不未释
H00132,典賓,InscriptionSentence,1,5,0,1,0,貞|王|其|㞢|未释,貞|王|其|㞢|未释,貞王其㞢未释,貞王其㞢未释
H00132,典賓,InscriptionSentence,2,3,0,0,0,貞|其|步,貞|其|步,貞其步,貞其步
H00134,典賓,InscriptionSentence,0,8,0,3,0,未释|未释|卜|賓|未释|逸|芻|㝵,未释|未释|卜|賓|未释|逸|芻|㝵,未释未释卜賓未释逸芻㝵,未释未释卜賓未释逸芻㝵
H00138,典賓,InscriptionSentence,0,12,0,2,0,未释|嚮|己|未|寇|򢬏|芻|逸|自|爻|圉|未释,未释|嚮|己|未|寇|򢬏|芻|逸|自|爻|圉|未释,未释嚮己未寇򢬏芻逸自爻圉未释,未释嚮己未寇򢬏芻逸自爻圉未释
H00142,典賓,InscriptionSentence,0,11,0,2,1,甲|午|卜|古|貞|在|未释|戓|芻|乎|未释,甲|午|卜|古|貞|在|未释|戓|芻|乎|未释,甲午卜古貞在未释戓芻乎未释,甲午卜古貞在未释戓芻乎未释
H00144,典賓,InscriptionSentence,0,6,1,3,0,未释|勿|未释|𭮹/򽆔/𬆤/杸/枚/󿮬/𤤄/󿰰|芻|未释,未释|勿|未释|𭮹|芻|未释,未释勿未释𭮹/򽆔/𬆤/杸/枚/󿮬/𤤄/󿰰芻未释,未释勿未释𭮹芻未释
H00146,典賓,InscriptionSentence,0,8,0,3,0,未释|午|卜|未释|奠|芻|未释|北,未释|午|卜|未释|奠|芻|未释|北,未释午卜未释奠芻未释北,未释午卜未释奠芻未释北
H00147,典賓,InscriptionSentence,0,5,0,2,0,貞|我|未释|芻|未释,貞|我|未释|芻|未释,貞我未释芻未释,貞我未释芻未释
H00148,典賓,InscriptionSentence,0,5,0,0,0,乎|牧|于|朕|芻,乎|牧|于|朕|芻,乎牧于朕芻,乎牧于朕芻
H00148,典賓,InscriptionSentence,1,3,0,2,1,未释|亘|未释,未释|亘|未释,未释亘未释,未释亘未释
H00149,典賓,InscriptionSentence,0,7,0,3,0,未释|罝|芻|于|未释|隹|未释,未释|罝|芻|于|未释|隹|未释,未释罝芻于未释隹未释,未释罝芻于未释隹未释
H00155,典賓,InscriptionSentence,0,7,0,1,1,貞|乎|多|羌|逐|未释|獲,貞|乎|多|羌|逐|未释|獲,貞乎多羌逐未释獲,貞乎多羌逐未释獲
H00156,典賓,InscriptionSentence,0,4,0,1,0,貞|㞢|羌|未释,貞|㞢|羌|未释,貞㞢羌未释,貞㞢羌未释
H00156,典賓,InscriptionSentence,1,4,0,0,0,貞|多|羌|獲,貞|多|羌|獲,貞多羌獲,貞多羌獲
H00156,典賓,InscriptionSentence,2,6,0,0,0,貞|多|羌|不|其|獲,貞|多|羌|不|其|獲,貞多羌不其獲,貞多羌不其獲
H00156,典賓,InscriptionSentence,3,6,0,0,0,貞|翌|甲|寅|不|雨,貞|翌|甲|寅|不|雨,貞翌甲寅不雨,貞翌甲寅不雨
H00156,典賓,InscriptionSentence,4,4,0,0,0,貞|擒|乎|來,貞|擒|乎|來,貞擒乎來,貞擒乎來
H00156,典賓,InscriptionSentence,5,6,0,0,0,貞|翌|甲|寅|其|雨,貞|翌|甲|寅|其|雨,貞翌甲寅其雨,貞翌甲寅其雨
H00157,典賓,InscriptionSentence,0,4,0,0,0,貞|多|羌|獲,貞|多|羌|獲,貞多羌獲,貞多羌獲
H00157,典賓,InscriptionSentence,1,5,0,3,0,未释|勿|未释|于|未释,未释|勿|未释|于|未释,未释勿未释于未释,未释勿未释于未释
H00159,賓出,InscriptionSentence,0,6,0,3,0,未释|御|未释|多|羌|未释,未释|御|未释|多|羌|未释,未释御未释多羌未释,未释御未释多羌未释
H00164,典賓,InscriptionSentence,0,5,0,0,0,其|獲|五|羌|圍,其|獲|五|羌|圍,其獲五羌圍,其獲五羌圍
H00165,典賓,InscriptionSentence,0,9,1,0,0,乙|酉|卜|򧍪/򫝰|貞|射|臿|獲|羌,乙|酉|卜|򧍪|貞|射|臿|獲|羌,乙酉卜򧍪/򫝰貞射臿獲羌,乙酉卜򧍪貞射臿獲羌
H00165,典賓,InscriptionSentence,1,2,0,1,1,貞|未释,貞|未释,貞未释,貞未释
